latitude,longitude,violation_time,violation_type,issue_date
40.758876,-74.245126,04:47,Parking in No Standing Zone,2023-04-08
40.775283,-73.760639,01:01,Parking in No Standing Zone,2022-10-14
40.573644,-73.976758,22:41,Bus Stop,2022-09-07
40.662073,-74.008127,05:44,No Standing,2023-01-25
40.627178,-74.172234,12:06,Street Cleaning,2023-02-03
40.850467,-73.921798,17:07,No Standing,2022-12-15
40.512088,-74.095301,11:36,Double Parking,2024-10-28
40.787553,-74.233498,07:55,Parking in No Standing Zone,2022-05-03
40.644732,-74.00578,11:13,Blocking Driveway,2023-03-12
40.786341,-73.877202,05:34,Double Parking,2022-10-21
40.54933,-74.047098,07:43,Street Cleaning,2024-12-18
40.848423,-73.825549,10:25,Blocking Driveway,2022-01-26
40.506536,-73.748931,06:41,Fire Hydrant,2024-12-11
40.651557,-73.748142,04:15,Bus Stop,2023-03-09
40.714658,-73.841743,11:14,Expired Meter,2023-10-13
40.701693,-74.208309,20:10,No Standing,2022-02-05
40.739939,-74.044131,08:35,No Parking,2024-08-17
40.776861,-74.1951,20:21,Parking in No Standing Zone,2024-05-25
40.606599,-74.170737,08:32,Expired Meter,2022-12-24
40.700881,-74.199648,20:32,Expired Registration,2024-05-27
40.564961,-74.050194,16:58,No Parking,2022-09-25
40.741055,-73.986116,09:15,No Parking,2022-06-27
40.583432,-73.942118,15:52,Parking in No Standing Zone,2022-02-24
40.907909,-73.961477,15:35,Expired Meter,2022-03-22
40.594078,-73.771672,23:44,Double Parking,2023-04-18
40.79124,-74.036183,14:57,Bus Stop,2024-11-12
40.676144,-74.120595,18:35,Double Parking,2022-06-01
40.736431,-74.255082,07:04,No Parking,2024-11-02
40.855812,-74.219512,15:13,Bus Stop,2022-05-22
40.535644,-73.736428,07:50,Fire Hydrant,2024-10-16
40.83286,-74.152718,11:27,No Standing,2022-11-14
40.682984,-73.851765,03:03,No Standing,2024-11-21
40.79796,-73.811809,06:34,Fire Hydrant,2022-04-07
40.539108,-74.156585,02:28,Bus Stop,2023-04-28
40.520499,-73.894747,07:10,No Standing,2024-01-03
40.691179,-74.139679,12:00,No Standing,2023-01-06
40.594142,-73.82104,22:46,Bus Stop,2023-05-14
40.768756,-73.987197,01:37,Bus Stop,2022-05-07
40.504234,-74.083889,16:58,Bus Stop,2022-10-16
40.546702,-73.722313,19:04,Double Parking,2022-03-03
40.655142,-73.73303,19:02,Expired Registration,2024-04-19
40.513489,-73.891826,08:13,Street Cleaning,2024-09-11
40.58247,-74.037974,14:20,Parking in No Standing Zone,2024-11-10
40.481501,-73.912058,17:13,Bus Stop,2024-02-03
40.594141,-73.737688,09:10,Fire Hydrant,2022-04-12
40.844415,-73.866032,00:42,Bus Stop,2024-11-17
40.609187,-73.888465,03:47,Bus Stop,2022-05-04
40.545828,-74.101683,06:43,Blocking Driveway,2022-12-11
40.699881,-74.118799,13:53,Blocking Driveway,2022-02-21
40.496807,-74.072742,05:47,Fire Hydrant,2022-11-09
40.72025,-74.020151,22:57,Expired Meter,2022-02-03
40.717569,-73.792812,13:08,No Parking,2024-09-05
40.613095,-73.756839,21:15,Parking in No Standing Zone,2022-06-07
40.633089,-73.946293,04:59,Double Parking,2023-10-24
40.857999,-73.713694,05:47,Street Cleaning,2022-07-01
40.821807,-74.029076,07:17,Expired Meter,2024-12-26
40.824002,-74.198707,06:52,Fire Hydrant,2022-08-08
40.63132,-73.800666,21:12,No Standing,2022-04-01
40.621901,-73.776186,16:25,Bus Stop,2023-06-21
40.623172,-74.24368,08:02,Parking in No Standing Zone,2023-03-19
40.740011,-74.065965,16:07,No Standing,2023-07-20
40.873362,-74.152903,00:33,Bus Stop,2022-12-14
40.779755,-73.733775,11:27,Parking in No Standing Zone,2024-11-07
40.895095,-73.744665,03:46,Blocking Driveway,2024-06-22
